Genesymbol,EnsembleID
Gm3776,ENSMUSG00000111709
Muc6,ENSMUSG00000048191
Adh7,ENSMUSG00000055301
Gkn1,ENSMUSG00000030050
Gsta1,ENSMUSG00000074183
Krt19,ENSMUSG00000020911
Muc5ac,ENSMUSG00000037974
Gkn2,ENSMUSG00000030049
Aldh3a1,ENSMUSG00000019102
Pgc,ENSMUSG00000023987
Gsta2,ENSMUSG00000057933
Slc5a5,ENSMUSG00000000792
Creb3l4,ENSMUSG00000027938
Cfi,ENSMUSG00000058952
Ptgr1,ENSMUSG00000028378
Anxa3,ENSMUSG00000029484
Dpcr1,ENSMUSG00000073408
Pla2g1b,ENSMUSG00000029522
Sult1d1,ENSMUSG00000029273
Gsdma2,ENSMUSG00000017211
Ppic,ENSMUSG00000024538
Rfk,ENSMUSG00000024712
Vsig1,ENSMUSG00000031430
A4gnt,ENSMUSG00000037953
Ezr,ENSMUSG00000052397
Pgd,ENSMUSG00000028961
Abcc3,ENSMUSG00000020865
Ltbp4,ENSMUSG00000040488
Nfe2l2,ENSMUSG00000015839
Syt8,ENSMUSG00000031098
Mal,ENSMUSG00000027375
Sult1b1,ENSMUSG00000029269
Bpifb1,ENSMUSG00000027485
Me1,ENSMUSG00000032418
Igsf9,ENSMUSG00000037995
Gm3336,ENSMUSG00000095026
Gsdmc2,ENSMUSG00000056293
Bpnt1,ENSMUSG00000026617
Lypd8,ENSMUSG00000013643
Anpep,ENSMUSG00000039062
Pga5,ENSMUSG00000024738
Fhl1,ENSMUSG00000023092
Slc16a1,ENSMUSG00000032902
Akr1c14,ENSMUSG00000033715
Ppp2r2b,ENSMUSG00000024500
Abcd3,ENSMUSG00000028127
Pygb,ENSMUSG00000033059
Papss2,ENSMUSG00000024899
2210407C18Rik,ENSMUSG00000037145
Prelid2,ENSMUSG00000056671
Dtna,ENSMUSG00000024302
Slc9b2,ENSMUSG00000037994
Shank2,ENSMUSG00000037541
Cpm,ENSMUSG00000020183
Ctnna1,ENSMUSG00000037815
Igf1,ENSMUSG00000020053
Tfcp2l1,ENSMUSG00000026380
Phlda1,ENSMUSG00000020205
Maged1,ENSMUSG00000025151
Sh3rf2,ENSMUSG00000057719
Erlin1,ENSMUSG00000025198
Mboat1,ENSMUSG00000038732
Prom1,ENSMUSG00000029086
Gm10639,ENSMUSG00000074179
Emb,ENSMUSG00000021728
Capn9,ENSMUSG00000031981
2010007H06Rik,ENSMUSG00000044694
Copz2,ENSMUSG00000018672
Dsc2,ENSMUSG00000024331
B4galnt1,ENSMUSG00000006731
Slc2a10,ENSMUSG00000027661
5330417C22Rik,ENSMUSG00000040412
Gsn,ENSMUSG00000026879
Sprr2a2,ENSMUSG00000068893
Aldh1a1,ENSMUSG00000053279
Rasgef1b,ENSMUSG00000089809
Gsdmc4,ENSMUSG00000055748
Zbtb7c,ENSMUSG00000044646
Soat1,ENSMUSG00000026600
Clu,ENSMUSG00000022037
Id4,ENSMUSG00000021379
Kcnj13,ENSMUSG00000079436
Diras2,ENSMUSG00000047842
